target,x_feature_relevance,y_performance,spearman,n_tasks,expected_direction
RUL,mean_abs_corr,mean_mae,0.006102897945428865,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,mean_abs_corr,mean_mape,-0.6538819227245212,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,mean_abs_corr,mean_rmse,0.057541609199757864,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,mean_abs_corr,mean_r2,0.6163926924883153,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,mean_abs_corr,mean_pearson_r,0.4995657889615341,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,mean_abs_corr,performance_score,0.4821289376888803,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,median_abs_corr,mean_mae,0.05056686869069631,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,median_abs_corr,mean_mape,-0.5928529432702325,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,median_abs_corr,mean_rmse,0.10636479276318876,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,median_abs_corr,mean_r2,0.5013094740887996,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,median_abs_corr,mean_pearson_r,0.4062786346528358,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,median_abs_corr,performance_score,0.3783796726165896,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,max_abs_corr,mean_mae,-0.20837037270821407,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,max_abs_corr,mean_mape,-0.774196196505833,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,max_abs_corr,mean_rmse,-0.1665219296538447,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,max_abs_corr,mean_r2,0.7872738349603234,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,max_abs_corr,mean_pearson_r,0.6721906165608078,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,max_abs_corr,performance_score,0.6852682550152981,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,top3_abs_corr,mean_mae,-0.017436851272653896,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,top3_abs_corr,mean_mape,-0.7245011703787695,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,top3_abs_corr,mean_rmse,0.04010475792710397,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,top3_abs_corr,mean_r2,0.7227574852515041,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,top3_abs_corr,mean_pearson_r,0.5475171299613324,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,top3_abs_corr,performance_score,0.5449016022704344,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,strong_feature_fraction,mean_mae,-0.062112519024416266,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,strong_feature_fraction,mean_mape,-0.6841859920017762,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,strong_feature_fraction,mean_rmse,-0.005215555032584572,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,strong_feature_fraction,mean_r2,0.7221173013296641,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,strong_feature_fraction,mean_pearson_r,0.4964260108287316,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,strong_feature_fraction,performance_score,0.5485815611545772,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,very_strong_feature_fraction,mean_mae,-0.31297904723471964,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,very_strong_feature_fraction,mean_mape,-0.6228956771775145,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,very_strong_feature_fraction,mean_rmse,-0.24438089989560302,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,very_strong_feature_fraction,mean_r2,0.7098683282681801,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,very_strong_feature_fraction,mean_pearson_r,0.5959464050085758,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,very_strong_feature_fraction,performance_score,0.6559697839303028,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,feature_quality_score,mean_mae,-0.029642647163511626,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,feature_quality_score,mean_mape,-0.7253730129424021,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,feature_quality_score,mean_rmse,0.025283434345348153,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,feature_quality_score,mean_r2,0.7044487914152175,24,误差指标期望负相关；质量指标和performance_score期望正相关
RUL,feature_quality_score,mean_pearson_r,0.557107398161292,24,误差指标期望负相关；质量指标和performance_score期望正相关
